,0,1,2,3,4,5
382,1,2015,BMW,X5,"$16,999 ","27,846 miles"
383,0,2014,DODGE,DURANGO,"$16,999 ","33,889 miles"
385,0,2008,BMW,X3,"$58,987 ","98,652 miles"
386,0,2012,FORD,EXPLORER,"$46,136 ","95,949 miles"
387,0,2013,AUDI,Q5 PREMIUM,"$46,136 ","69,579 miles"
388,0,2014,JEEP,WRANGLER UNLIMITED,"$33,991 ","26,811 miles"
389,1,2015,LEXUS,NX,"$33,991 ","30,416 miles"
390,1,2017,BMW,X1,"$25,995 ","8,740 miles"
391,0,2017,NISSAN,ROGUE,"$25,995 ","1,002 miles"
393,0,2015,FORD,ESCAPE,"$18,661 ","50,948 miles"
394,0,2015,JEEP,PATRIOT,"$18,661 ","12,242 miles"
396,0,2017,FORD,EXPLORER LIMITED,"$16,991 ","39,232 miles"
397,0,2015,AUDI,Q5 PREMIUM,"$45,495 ","40,554 miles"
398,0,2014,NISSAN,JUKE,"$45,495 ","19,555 miles"
400,0,2010,FORD,FLEX,"$32,495 ","155,911 miles"
401,0,2015,FORD,ESCAPE,"$29,500 ","64,234 miles"
402,0,2015,JEEP,GRAND CHEROKEE,"$29,500 ","30,755 miles"
403,0,2014,NISSAN,PATHFINDER HYBRID,"$13,995 ","41,260 miles"
404,0,2015,TOYOTA,HIGHLANDER,"$13,995 ","25,869 miles"
405,0,2012,JEEP,WRANGLER,"$24,495 ","36,774 miles"
406,0,2014,NISSAN,PATHFINDER,"$24,495 ","42,613 miles"
407,0,2017,JEEP,RENEGADE,"$8,995 ","14,812 miles"
408,0,2015,JEEP,CHEROKEE LIMITED,"$20,990 ","28,027 miles"
409,0,2014,NISSAN,PATHFINDER,"$20,990 ","50,606 miles"
410,0,2016,JEEP,RENEGADE,"$19,995 ","18,328 miles"
411,0,2017,HONDA,CR-V,"$19,995 ","7,980 miles"
412,0,2014,TOYOTA,HIGHLANDER,"$16,995 ","143,521 miles"
413,1,2014,CHEVROLET,TAHOE,"$16,995 ","68,299 miles"
414,0,2006,HONDA,ELEMENT,"$28,776 ","144,394 miles"
415,0,2017,BMW,X3,"$28,776 ","6,090 miles"
416,0,2015,TOYOTA,HIGHLANDER,"$19,980 ","25,140 miles"
417,0,2015,TOYOTA,RAV4 LIMITED,"$19,980 ","22,682 miles"
418,0,2015,TOYOTA,RAV4 LIMITED,"$32,655 ","32,490 miles"
419,0,2017,BMW,X3,"$32,655 ","2,584 miles"
420,0,2015,DODGE,JOURNEY,"$7,999 ","40,074 miles"
422,0,2017,MERCEDES-BENZ,GLS 450,"$36,888 ","1,590 miles"
423,0,2010,JEEP,GRAND CHEROKEE,"$13,082 ","83,920 miles"
424,0,2017,JEEP,CHEROKEE,"$13,082 ","13,372 miles"
426,0,2014,TOYOTA,RAV4,"$24,991 ","21,676 miles"
427,0,2017,NISSAN,ROGUE,"$33,995 ","16,785 miles"
428,0,2014,JEEP,GRAND CHEROKEE LIMITED,"$33,995 ","60,430 miles"
429,1,2017,ACURA,MDX,"$19,992 ","4,197 miles"
430,1,2015,ACURA,MDX,"$19,992 ","30,885 miles"
